"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474400","FPKM.SRR8474410","FPKM.SRR8474431","FPKM.SRR8474441","..files.pituitary_mean_female","..files.pituitary_mean_male"
"1","ENSRNOG00000000017","+","Steap1","chr4",25442006,25442519,NA,NA,0.000573466371569,0.02424441768,"1.0,1.0,0.854",0.875,"SE","4","Steap1",7.750511,2.1087,4.987507,1.97749,3.02456566666667,2.58350366666667
"2","ENSRNOG00000000044","-","Tmem175","chr14",2091821,2091860,2092029,2092283,3.45542483515e-10,1.36690177781e-08,"0.0,0.233,0.47",0.002,"MXE","14","Tmem175",22.962206,19.31316,20.899488,18.680569,19.6310723333333,7.65406866666667
"3","ENSRNOG00000000047","-","Cd82","chr3",82342661,82342744,82347938,82348014,0.000145708736336,0.0019987948428,"0.995,0.833,0.784",0.985,"MXE","3","Cd82",41.788818,24.338984,23.200014,22.315092,23.2846966666667,13.929606
"4","ENSRNOG00000000108","-","Aga","chr16",41228205,41228317,NA,NA,9.09341879129e-07,0.000177829382313,"0.244,1.0,1.0",0.162,"SE","16","Aga",94.496803,99.713394,121.725754,105.64724,109.028796,31.4989343333333
"5","ENSRNOG00000000108","-","Aga","chr16",41231809,41231963,NA,NA,0.00113609553902,0.0400311621835,"0.911,0.955,0.955",0.88,"SE","16","Aga",94.496803,99.713394,121.725754,105.64724,109.028796,31.4989343333333
"6","ENSRNOG00000000175","+","Mier2","chr7",13053555,13054013,NA,NA,6.41708908233e-14,6.20318611292e-13,"0.008,0.322,0.268",0.006,"RI","7","Mier2",12.5356451179168,9.83545015492958,4.8740172217491,12.9137940540452,9.20775381024129,4.17854837263893
"7","ENSRNOG00000000247","+","Mfsd11","chr10",105801206,105801314,105802064,105802144,2.40774144689e-06,4.70754965651e-05,"0.034,0.274,0.261",0.033,"MXE","10","Mfsd11",22.542515,23.234177,20.886419,20.400225,21.5069403333333,7.51417166666667
"8","ENSRNOG00000000275","-","Fam13c","chr20",19381828,19381967,NA,NA,6.80739780512e-06,0.000877742880729,"1.0,1.0,1.0",0,"SE","20","Fam13c",5.85324870723192,7.31060513117207,5.38619728578554,11.1071404997506,7.93464763890274,1.95108290241064
"9","ENSRNOG00000000304","+","Cd164","chr20",46259706,46259846,NA,NA,3.45159456572e-11,3.00288727218e-10,"0.026,1.0,1.0",0.015,"RI","20","Cd164",161.556367177453,183.602726217815,219.480235416841,177.677808668754,193.58692343447,53.8521223924843
"10","ENSRNOG00000000312","-","Fig4","chr20",46022193,46022317,NA,NA,0.00144147282153,0.047552360646,"0.928,1.0,1.0",0.84,"SE","20","Fig4",17.466536,17.517256,13.638641,13.8278,14.9945656666667,5.82217866666667
"11","ENSRNOG00000000312","-","Fig4","chr20",46023570,46023669,NA,NA,0.000867006599177,0.0323981590173,"0.885,1.0,1.0",0.741,"SE","20","Fig4",17.466536,17.517256,13.638641,13.8278,14.9945656666667,5.82217866666667
"12","ENSRNOG00000000387","-","Slc25a16","chr20",27272276,27272496,NA,NA,0.000290870635063,0.0146477708005,"1.0,1.0,1.0",0.791,"SE","20","Slc25a16",5.65366046619327,6.51339915961717,7.83621835443038,6.13590666872492,6.82850806092416,1.88455348873109
"13","ENSRNOG00000000396","-","Ddx50","chr20",32244991,32245151,32245373,32245447,1.69660951954e-11,9.78282302623e-10,"0.985,0.644,0.706",0.985,"MXE","20","Ddx50",46.4223510527568,55.3591232558509,68.8597435410551,60.524912303451,61.581259700119,15.4741170175856
"14","ENSRNOG00000000396","-","Ddx50","chr20",32242595,32242730,32244991,32245151,8.00945565427e-09,2.57058189961e-07,"0.978,0.58,0.528",0.979,"MXE","20","Ddx50",46.4223510527568,55.3591232558509,68.8597435410551,60.524912303451,61.581259700119,15.4741170175856
"15","ENSRNOG00000000396","-","Ddx50","chr20",32244991,32245151,32245373,32245447,7.39219796486e-12,5.02965149529e-10,"0.989,0.642,0.714",0.988,"MXE","20","Ddx50",46.4223510527568,55.3591232558509,68.8597435410551,60.524912303451,61.581259700119,15.4741170175856
"16","ENSRNOG00000000397","-","Ccar1","chr20",32390880,32391091,NA,NA,0,0,"0.057,0.025,0.035",0.556,"SE","20","Ccar1",19.456074,18.608677,26.345222,17.947203,20.967034,6.485358
"17","ENSRNOG00000000433","+","Prrt1","chr20",4393726,4394265,NA,NA,0.00114473215109,0.0402147146551,"0.15,1.0,0.762",0.147,"SE","20","Prrt1",107.612040898901,83.3373137463736,30.3241210997802,73.0109331279121,62.224122658022,35.8706802996337
