"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474387","FPKM.SRR8474398","FPKM.SRR8474408","FPKM.SRR8474419","FPKM.SRR8474439","..files.lung_mean_female","..files.lung_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSRNOG00000000040","-","RGD1304622","chr13",72871263,72871420,NA,NA,0.000317332360375,0.0200680940836,"1.0,1.0","0.894,1.0,0.739","SE","13","RGD1304622",2.44318461433046,1.66120485630384,1.57486291014096,2.15488491405638,0.959590007439311,1.26722645879014,3.12963719234534,NA,"rat","lung","GSE125483"
"2","ENSRNOG00000000043","-","Idua","chr14",2044186,2044399,NA,NA,5.56937187701e-07,0.000211865458404,"0.982,0.992","0.967,0.988,0.795","SE","14","Idua",78.662666,70.29509,71.668327,86.169205,39.525551,55.596939,117.5634805,NA,"rat","lung","GSE125483"
"3","ENSRNOG00000000047","-","Cd82","chr3",82342661,82342744,82347938,82348014,0.000201712454075,0.00729680923319,"0.759,0.723","0.784,0.763,0.974","MXE","3","Cd82",52.355099,76.598373,58.464287,43.905243,70.163628,64.3139575,86.4293575,NA,"rat","lung","GSE125483"
"4","ENSRNOG00000000108","-","Aga","chr16",41231809,41231963,NA,NA,2.47436844347e-08,1.56925725847e-05,"0.967,1.0","0.951,0.958,0.904","SE","16","Aga",62.732689,57.196163,70.97345,60.742817,88.833862,79.903656,90.3358345,NA,"rat","lung","GSE125483"
"5","ENSRNOG00000000108","-","Aga","chr16",41228205,41228317,41230005,41230118,1.53857086875e-05,0.00118952645794,"0.797,0.722","0.73,0.738,0.999","MXE","16","Aga",62.732689,57.196163,70.97345,60.742817,88.833862,79.903656,90.3358345,NA,"rat","lung","GSE125483"
"6","ENSRNOG00000000150","-","Dnajc1","chr17",85046028,85046119,85055550,85055644,0.000697057049596,0.01636009492,"0.851,0.863","0.829,0.893,0.992","MXE","17","Dnajc1",29.422602,25.979851,29.721546,26.358984,38.031921,33.8767335,40.8807185,NA,"rat","lung","GSE125483"
"7","ENSRNOG00000000150","-","Dnajc1","chr17",85046028,85046119,85064519,85064621,0.000813911847884,0.0180295191922,"0.806,0.726","0.736,0.849,0.992","MXE","17","Dnajc1",29.422602,25.979851,29.721546,26.358984,38.031921,33.8767335,40.8807185,NA,"rat","lung","GSE125483"
"8","ENSRNOG00000000158","-","Cdo1","chr18",40704176,40704346,40712056,40712134,0.00352851039029,0.0456161195702,"0.274,0.283","0.33,0.325,0.482","MXE","18","Cdo1",124.923203,49.548489,68.556122,125.798958,127.236458,97.89629,150.135325,NA,"rat","lung","GSE125483"
"9","ENSRNOG00000000158","-","Cdo1","chr18",40709347,40709502,40712056,40712134,0.000433753719428,0.0121297228064,"0.491,0.501","0.536,0.516,0.983","MXE","18","Cdo1",124.923203,49.548489,68.556122,125.798958,127.236458,97.89629,150.135325,NA,"rat","lung","GSE125483"
"10","ENSRNOG00000000172","+","Sqor","chr3",114931346,114931556,114935384,114935568,0.000116312762626,0.00519847439535,"0.476,0.412","0.449,0.429,0.003","MXE","3","Sqor",51.9070088117249,45.334282794814,57.7092604622322,47.6608524881623,65.8091984182638,61.759229440248,72.4510720473506,NA,"rat","lung","GSE125483"
"11","ENSRNOG00000000175","+","Mier2","chr7",13053555,13054013,NA,NA,0.000699900081306,0.00284732078531,"0.183,0.344","0.228,0.26,0.002","RI","7","Mier2",3.39661110219456,4.11450454143465,3.1584650442188,3.93982273534229,1.79152184048477,2.47499344235178,5.72546918948575,NA,"rat","lung","GSE125483"
"12","ENSRNOG00000000219","-","Ano10","chr8",130908127,130908262,NA,NA,0.000234111300189,0.0163234261814,"0.976,1.0","0.993,0.941,0.92","SE","8","Ano10",30.814268,24.862211,23.396547,29.083452,27.245651,25.321099,42.3799655,NA,"rat","lung","GSE125483"
"13","ENSRNOG00000000262","-","Zfp821","chr19",41944449,41944598,41947435,41947561,0.00115296001316,0.0223287931925,"0.662,0.577","0.632,0.674,0.981","MXE","19","Zfp821",12.421604,9.47012,9.495252,12.47551,12.120996,10.808124,17.183617,NA,"rat","lung","GSE125483"
"14","ENSRNOG00000000312","-","Fig4","chr20",46013856,46014013,46023570,46023669,0.00294583473456,0.0399155544961,"0.211,0.338","0.372,0.372,0.414","MXE","20","Fig4",13.077792,11.453187,11.624935,13.239907,10.129138,10.8770365,18.885443,NA,"rat","lung","GSE125483"
"15","ENSRNOG00000000327","+","Hace1","chr20",50660030,50660120,NA,NA,0.00119679136595,0.048600626459,"1.0,1.0","0.803,1.0,0.888","SE","20","Hace1",10.151283,6.733409,7.70606,9.103209,9.100197,8.4031285,12.9939505,NA,"rat","lung","GSE125483"
"16","ENSRNOG00000000327","+","Hace1","chr20",50661538,50661643,50676393,50676469,1.29406855232e-07,2.83472905655e-05,"0.249,0.285","0.162,0.071,0.023","MXE","20","Hace1",10.151283,6.733409,7.70606,9.103209,9.100197,8.4031285,12.9939505,NA,"rat","lung","GSE125483"
"17","ENSRNOG00000000341","-","Nid2","chr15",4913044,4913173,4913698,4913842,0.00319652305476,0.0427250522201,"0.58,0.633","0.458,0.368,0.384","MXE","15","Nid2",4.97568259929855,3.25942327159141,3.44949561530031,6.94171943182815,2.960021,3.20475830765016,7.58841265135906,NA,"rat","lung","GSE125483"
"18","ENSRNOG00000000395","-","Kif1bp","chr20",32201687,32201871,32202430,32202510,9.26097488356e-05,0.00446983635898,"0.499,0.44","0.574,0.487,0.994","MXE","20","Kif1bp",18.82095,16.237976,16.296556,21.725273,23.044113,19.6703345,28.3920995,NA,"rat","lung","GSE125483"
"19","ENSRNOG00000000396","-","Ddx50","chr20",32244991,32245151,32245373,32245447,0.000856642659294,0.018661558042,"0.302,0.338","0.379,0.397,0.499","MXE","20","Ddx50",32.0785220039667,25.0279905204284,29.5270744458548,28.6658321693772,39.6464348932963,34.5867546695756,42.8861723468861,NA,"rat","lung","GSE125483"
"20","ENSRNOG00000000439","+","Ager","chr20",4363904,4364077,NA,NA,0.00638494581141,0.0184339564555,"0.027,0.013","0.018,0.017,0.001","RI","20","Ager",1319.33977607895,687.505920823887,712.433251537449,1491.66369127227,1490.30734058907,1101.37029606326,1749.25469408755,NA,"rat","lung","GSE125483"
"21","ENSRNOG00000000443","-","LOC103689965","chr20",4500261,4500313,NA,NA,0.000163427744822,0.0129983130794,"1.0,1.0","1.0,1.0,0.684","SE","20","LOC103689965",110.68483713982,75.0882840417812,119.386247525014,129.705591403702,72.0087309367784,95.6974892308962,157.739356292652,NA,"rat","lung","GSE125483"
"22","ENSRNOG00000000443","-","LOC103689965","chr20",4500261,4500313,4500820,4501024,7.84581724034e-08,1.93350358617e-05,"0.997,0.924","1.0,0.427,0.452","MXE","20","LOC103689965",110.68483713982,75.0882840417812,119.386247525014,129.705591403702,72.0087309367784,95.6974892308962,157.739356292652,NA,"rat","lung","GSE125483"
"23","ENSRNOG00000000464","+","Rxrb","chr20",3827966,3828066,NA,NA,1.39029762369e-07,1.92528050965e-06,"0.157,0.085","0.129,0.128,0.0","RI","20","Rxrb",9.90004424281302,9.07970870444286,7.52316523402233,11.396565982181,7.26763544951295,7.39540034176764,15.1881594647184,NA,"rat","lung","GSE125483"
"24","ENSRNOG00000000466","-","Hsd17b8","chr20",3817403,3817574,NA,NA,0.00764456418348,0.0207329846794,"0.399,0.328","0.436,0.3,0.037","RI","20","Hsd17b8",11.3824652111383,13.6140757900857,11.2851718219094,10.3881722851897,15.4650986162791,13.3751352190943,17.6923566432068,NA,"rat","lung","GSE125483"
