"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474451","FPKM.SRR8474452","FPKM.SRR8474453","FPKM.SRR8474454","FPKM.SRR8474455","FPKM.SRR8474456","FPKM.SRR8474457","..files.testis_1.txt_mean_female","..files.testis_2.txt_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSRNOG00000000042","-","Xpr1","chr13",72966125,72966275,72969278,72969502,0.00828578159534,0.0243341144685,"0.401,0.428,0.474","0.482,0.466,0.476,0.546","MXE","13","Xpr1",25.6135163012082,24.196160911492,23.4464926260185,21.4377453071087,22.8074525080079,25.7717647510537,25.5376378142737,23.6734787864569,18.5292137683338,NA,"rat","testis","GSE125483"
"2","ENSRNOG00000000043","-","Idua","chr14",2044186,2044399,NA,NA,1.35582699969e-05,0.000668728156476,"0.922,0.869,0.919","1.0,1.0,1.0,0.948","SE","14","Idua",12.436879,12.601078,12.749213,12.154982,12.627763,11.689542,12.131542,12.485538,9.11221175,NA,"rat","testis","GSE125483"
"3","ENSRNOG00000000044","-","Tmem175","chr14",2088421,2088457,2088692,2088744,0.0183833297088,0.0457551321394,"0.419,0.435,0.374","0.371,0.407,0.326,0.345","MXE","14","Tmem175",112.070671,112.293503,113.917297,112.756386,92.746193,106.737785,114.699776,112.75946425,78.5459385,NA,"rat","testis","GSE125483"
"4","ENSRNOG00000000044","-","Tmem175","chr14",2087417,2087582,NA,NA,0.00267966922033,0.0431697690382,"0.902,0.893,0.953","0.946,0.966,0.902,0.931","SE","14","Tmem175",112.070671,112.293503,113.917297,112.756386,92.746193,106.737785,114.699776,112.75946425,78.5459385,NA,"rat","testis","GSE125483"
"5","ENSRNOG00000000044","-","Tmem175","chr14",2087417,2087582,2087884,2087968,0.0203837228598,0.0497966918315,"0.566,0.579,0.477","0.483,0.449,0.485,0.515","MXE","14","Tmem175",112.070671,112.293503,113.917297,112.756386,92.746193,106.737785,114.699776,112.75946425,78.5459385,NA,"rat","testis","GSE125483"
"6","ENSRNOG00000000065","-","Pde6b","chr14",2336296,2336362,NA,NA,4.02354248042e-05,0.00156620330992,"0.776,0.47,0.609","1.0,1.0,0.437,1.0","SE","14","Pde6b",0.779615,0.814493,0.835446,0.803668,0.741589,0.797418,0.759207,0.8083055,0.5745535,NA,"rat","testis","GSE125483"
"7","ENSRNOG00000000121","-","Pigv","chr5",151894731,151894850,NA,NA,9.70551551804e-05,0.00315553684022,"0.861,0.86,1.0","1.0,1.0,1.0,0.937","SE","5","Pigv",5.74871226487748,6.028261470634,5.39272559626604,5.65513687709063,5.14364098055231,5.62215052781019,5.74622342201478,5.70620905221704,4.12800373259432,NA,"rat","testis","GSE125483"
"8","ENSRNOG00000000123","+","Rnf19b","chr5",147257677,147257883,147259583,147259725,0.017198565069,0.0433406621553,"0.289,0.3,0.464","0.429,0.492,0.426,0.398","MXE","5","Rnf19b",276.290600792484,285.939311858873,299.976909015866,275.258516779123,247.290772185804,267.426925375783,266.652949270564,284.366334611586,195.342661708038,NA,"rat","testis","GSE125483"
"9","ENSRNOG00000000150","-","Dnajc1","chr17",85046028,85046119,85064519,85064621,0.000109115891357,0.000623862600859,"0.938,0.873,0.783","0.484,0.642,0.737,0.73","MXE","17","Dnajc1",9.02969,9.259178,9.727043,9.564062,10.524238,10.005447,9.165389,9.39499325,7.4237685,NA,"rat","testis","GSE125483"
"10","ENSRNOG00000000150","-","Dnajc1","chr17",85009877,85009997,85036936,85037100,0.00402497183391,0.0136324046027,"0.366,0.395,0.472","0.49,0.463,0.517,0.516","MXE","17","Dnajc1",9.02969,9.259178,9.727043,9.564062,10.524238,10.005447,9.165389,9.39499325,7.4237685,NA,"rat","testis","GSE125483"
