"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474155","FPKM.SRR8474167","FPKM.SRR8474179","FPKM.SRR8474191","FPKM.SRR8474202","FPKM.SRR8474220","..files.heart_mean_female","..files.heart_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMFAG00000000043","-","MCCC1","chr2",87731664,87731801,NA,NA,1.76693876032e-05,0.00423877330268,"1.0,1.0,0.952","0.927,0.898,1.0","SE","2","MCCC1",17.825598498873,16.7038084372652,28.135819687453,18.9501522794891,19.210976661157,19.1358623471074,18.2632743546206,21.7241316158277,NA,"Macaca_fascicularis","heart","GSE125483"
"2","ENSMFAG00000000050","-","FRMD4A","chr9",14169410,14169467,NA,NA,0.000170768978727,0.018876668972,"1.0,1.0,1.0","0.927,0.861,0.927","SE","9","FRMD4A",1.67361746832352,3.64872807039218,3.591087261744,2.46642665665853,4.64337765249246,5.66444153842839,3.92653208849303,3.30269412751999,NA,"Macaca_fascicularis","heart","GSE125483"
"3","ENSMFAG00000000066","+","GPBP1","chr6",56755996,56756184,NA,NA,2.90567903072e-10,4.36820414285e-07,"1.0,1.0,1.0","1.0,0.715,0.929","SE","6","GPBP1",24.1331372191744,22.472414129006,22.122512775937,28.5455883210212,20.9221780486149,24.8520887971211,25.2900304157161,22.3926093479088,NA,"Macaca_fascicularis","heart","GSE125483"
"4","ENSMFAG00000000220","+","MFF","chr12",117125885,117126103,NA,NA,9.71062148194e-05,0.0128808537893,"1.0,0.933,0.958","0.987,0.986,1.0","SE","12","MFF",57.1669769628154,70.0461526896857,57.2935400455954,65.5435106737494,68.1099422040726,65.5195997755644,67.0364210463332,60.8568197374945,NA,"Macaca_fascicularis","heart","GSE125483"
"5","ENSMFAG00000000220","+","MFF","chr12",117123846,117123958,NA,NA,0.000433634231869,0.0333735560705,"0.817,0.847,1.0","0.832,0.756,0.788","SE","12","MFF",57.1669769628154,70.0461526896857,57.2935400455954,65.5435106737494,68.1099422040726,65.5195997755644,67.0364210463332,60.8568197374945,NA,"Macaca_fascicularis","heart","GSE125483"
"6","ENSMFAG00000000238","+","ARMC2","chr4",12854275,12854421,NA,NA,0.000127482211335,0.0156234992696,"0.495,0.551,1.0","1.0,1.0,1.0","SE","4","ARMC2",1.344392,2.064374,1.755775,2.211225,1.698672,1.914726,2.06344166666667,1.599613,NA,"Macaca_fascicularis","heart","GSE125483"
"7","ENSMFAG00000000307","+","UBE2A","chrX",116287447,116287537,NA,NA,0.000101333918275,0.0131326428569,"0.867,0.968,0.942","0.9,1.0,1.0","SE","X","UBE2A",31.2562193311793,34.2178112342488,38.3545897738288,39.3049930452343,36.1449567770598,35.5198592600969,36.3475545131933,35.2519219606893,NA,"Macaca_fascicularis","heart","GSE125483"
"8","ENSMFAG00000000327","+","GRK4","chr5",3094162,3094266,NA,NA,0.000247228630452,0.0235232304502,"0.859,0.749,1.0","1.0,0.923,1.0","SE","5","GRK4",16.5559712114198,16.6371018256173,12.701717632716,14.21637625,17.4111071219136,14.8137436111111,15.2224072289095,15.5562653220165,NA,"Macaca_fascicularis","heart","GSE125483"
"9","ENSMFAG00000000327","+","GRK4","chr5",3078597,3078710,NA,NA,0.000147527768077,0.0174175453934,"1.0,0.749,1.0","1.0,0.956,1.0","SE","5","GRK4",16.5559712114198,16.6371018256173,12.701717632716,14.21637625,17.4111071219136,14.8137436111111,15.2224072289095,15.5562653220165,NA,"Macaca_fascicularis","heart","GSE125483"
"10","ENSMFAG00000000437","-","CAT","chr14",32971776,32971915,NA,NA,0.00045334265309,0.0346538197532,"0.997,0.963,0.985","0.992,1.0,0.992","SE","14","CAT",68.6355147450331,83.1660587541391,67.9533726208609,73.9860823642384,66.1985379114239,62.6724625769868,73.2748678984548,67.5958084257726,NA,"Macaca_fascicularis","heart","GSE125483"
"11","ENSMFAG00000000444","-","EPS15L1","chr19",16635204,16635410,NA,NA,6.17039831405e-05,0.00932270176691,"0.946,0.821,1.0","1.0,0.956,1.0","SE","19","EPS15L1",20.4466638891976,14.337873659604,16.3831236971171,23.8029610316082,17.8518390687739,15.7632200965613,17.9680182625912,18.2272088850295,NA,"Macaca_fascicularis","heart","GSE125483"
"12","ENSMFAG00000000448","+","SGCE","chr3",117351320,117351428,NA,NA,2.3567856402e-06,0.00108460237115,"0.0,0.0,0.036","0.09,0.066,0.056","SE","3","SGCE",13.6069881154609,11.8100366258672,15.5204508671952,15.4008510376611,20.0226285673935,16.6437679588702,14.6182185407995,16.3833558500165,NA,"Macaca_fascicularis","heart","GSE125483"
"13","ENSMFAG00000000526","+","PPCDC","chr7",53117476,53117572,NA,NA,7.10136186781e-05,0.0100084818824,"1.0,0.108,0.298","1.0,1.0,1.0","SE","7","PPCDC",1.40428493393057,2.15231638671146,2.61687390481523,1.94480308846585,3.55123960582307,2.43071714221725,2.17594553913152,2.52413281485629,NA,"Macaca_fascicularis","heart","GSE125483"
"14","ENSMFAG00000000526","+","PPCDC","chr7",53100907,53101114,NA,NA,3.96333631902e-05,0.00677069954499,"1.0,0.599,0.86","1.0,1.0,1.0","SE","7","PPCDC",1.40428493393057,2.15231638671146,2.61687390481523,1.94480308846585,3.55123960582307,2.43071714221725,2.17594553913152,2.52413281485629,NA,"Macaca_fascicularis","heart","GSE125483"
"15","ENSMFAG00000000614","+","ADGRE5","chr19",14768943,14769075,NA,NA,6.3561155601e-05,0.00936265461599,"0.877,0.67,0.751","1.0,0.892,1.0","SE","19","ADGRE5",10.9532074287649,11.4185702399783,15.9932463041712,9.24768885157096,15.9908276711809,17.1512326481582,12.6058305799025,14.3124271347057,NA,"Macaca_fascicularis","heart","GSE125483"
"16","ENSMFAG00000000629","-",NA,"chr8",75037348,75037381,NA,NA,0.00073682061348,0.0497464216586,"0.128,0.152,0.0","0.0,0.0,0.0","SE","8","ENSMFAG00000000629",5.05660381588133,5.40290067691972,5.3358030034904,6.81160992386562,4.45501619851658,4.82928326570681,5.68126462216405,4.94914100596277,NA,"Macaca_fascicularis","heart","GSE125483"
"17","ENSMFAG00000000680","-","MITD1","chr13",3462430,3462546,NA,NA,2.24773632362e-05,0.00501846080175,"1.0,0.972,1.0","1.0,0.852,0.511","SE","13","MITD1",4.61462889953052,4.79340347981221,6.4876801971831,5.67511050328638,7.03189274366197,5.09588212957747,5.18813203755869,6.04473394679186,NA,"Macaca_fascicularis","heart","GSE125483"
"18","ENSMFAG00000000680","-","MITD1","chr13",3463234,3463321,NA,NA,1.66729261798e-05,0.00410967291707,"1.0,0.972,1.0","1.0,0.838,0.516","SE","13","MITD1",4.61462889953052,4.79340347981221,6.4876801971831,5.67511050328638,7.03189274366197,5.09588212957747,5.18813203755869,6.04473394679186,NA,"Macaca_fascicularis","heart","GSE125483"
"19","ENSMFAG00000000738","+","TTL","chr13",16643864,16644134,NA,NA,2.81110165459e-05,0.00546468468198,"1.0,0.985,1.0","1.0,0.841,0.958","SE","13","TTL",12.832516,14.723661,12.660659,14.337761,11.195963,13.379595,14.1470056666667,12.2297126666667,NA,"Macaca_fascicularis","heart","GSE125483"
"20","ENSMFAG00000000746","-","ZNF75D","chrX",132255806,132256336,NA,NA,0.000100313364384,0.0130755281321,"0.371,0.262,0.515","1.0,1.0,0.453","SE","X","ZNF75D",1.27592081207066,1.20933102993131,1.13388180029441,0.592920256133464,0.998235264474975,1.43491598724239,1.07905575776905,1.13601262561335,NA,"Macaca_fascicularis","heart","GSE125483"
"21","ENSMFAG00000000928","-","GGA3","chr16",72526027,72526347,NA,NA,0.000394766937689,0.0311707496146,"1.0,0.909,1.0","0.961,0.693,1.0","SE","16","GGA3",10.3693400976081,9.1661088808891,9.30921240637835,7.77637928291858,8.27701356849481,10.4910556032858,9.14451458903116,9.31852202416042,NA,"Macaca_fascicularis","heart","GSE125483"
"22","ENSMFAG00000000988","+",NA,"chr7",87733761,87733863,NA,NA,6.45399880539e-07,0.00040427131406,"0.876,0.913,0.914","0.977,0.98,0.989","SE","7","ENSMFAG00000000988",6.77737279363242,15.2123365959479,9.11310703936324,7.32121935397974,18.7510503510854,22.2738094083936,14.9357884527737,11.547176728027,NA,"Macaca_fascicularis","heart","GSE125483"
"23","ENSMFAG00000000988","+",NA,"chr7",87740084,87740136,87772490,87772542,5.9421217653e-05,0.0282036886994,"0.083,0.475,0.167","0.167,0.0,0.0","MXE","7","ENSMFAG00000000988",6.77737279363242,15.2123365959479,9.11310703936324,7.32121935397974,18.7510503510854,22.2738094083936,14.9357884527737,11.547176728027,NA,"Macaca_fascicularis","heart","GSE125483"
"24","ENSMFAG00000001044","-","FUOM","chr9",132837435,132837534,NA,NA,0.000729529996127,0.0495509078695,"0.938,0.889,0.79","1.0,0.956,1.0","SE","9","FUOM",1.2259928066087,0.48711806973913,1.15255866921739,0.643088671826087,1.56496052417391,0.658871917391304,0.596359552985507,1.314504,NA,"Macaca_fascicularis","heart","GSE125483"
"25","ENSMFAG00000001162","+","PON2","chr3",116563134,116563205,NA,NA,0.000200998870426,0.0205091607607,"0.931,0.842,1.0","1.0,0.971,1.0","SE","3","PON2",14.0969433630952,10.9088737827381,14.7398158621032,9.21568433234127,12.6962226984127,14.5747179955357,11.566425370205,13.8443273078704,NA,"Macaca_fascicularis","heart","GSE125483"
"26","ENSMFAG00000001174","-","ING4","chr11",6947465,6947613,NA,NA,7.79541071694e-06,0.00262367927861,"1.0,0.993,1.0","0.939,0.896,0.932","SE","11","ING4",9.61834349306931,13.1133804950495,10.6247678316832,11.3321386039604,14.9354153049505,11.9755586594059,12.1403592528053,11.7261755432343,NA,"Macaca_fascicularis","heart","GSE125483"
"27","ENSMFAG00000001231","-","NRAP","chr9",112768995,112769307,NA,NA,1.31011557267e-05,0.00353491906179,"0.995,0.986,0.996","0.968,0.978,0.99","SE","9","NRAP",294.952515,342.500031,349.07724,330.109009,286.02887,315.030426,329.213155333333,310.019541666667,NA,"Macaca_fascicularis","heart","GSE125483"
"28","ENSMFAG00000001278","-","C11orf74","chr14",30817259,30817346,NA,NA,6.05751237076e-05,0.00929230639188,"1.0,1.0,1.0","1.0,0.84,0.844","SE","14","C11orf74",6.026358,8.651895,8.24899,8.355022,9.637123,8.927601,8.64483933333333,7.97082366666667,NA,"Macaca_fascicularis","heart","GSE125483"
"29","ENSMFAG00000001278","-","C11orf74","chr14",30785230,30785385,NA,NA,6.32461558197e-05,0.00936265461599,"0.977,0.99,0.969","0.957,0.876,0.93","SE","14","C11orf74",6.026358,8.651895,8.24899,8.355022,9.637123,8.927601,8.64483933333333,7.97082366666667,NA,"Macaca_fascicularis","heart","GSE125483"
"30","ENSMFAG00000001297","+",NA,"chr9",44720159,44720207,NA,NA,1.27631495493e-05,0.00350986612606,"1.0,0.971,1.0","1.0,0.827,0.902","SE","9","ENSMFAG00000001297",16.5243047124215,12.3470390190913,17.0691757481875,18.024191459159,13.3741818704688,12.8923389801837,14.421189819478,15.6558874436926,NA,"Macaca_fascicularis","heart","GSE125483"
"31","ENSMFAG00000001327","+","IFT81","chr11",113719785,113719949,NA,NA,1.70448968225e-05,0.00413292928331,"1.0,0.774,0.858","1.0,0.969,1.0","SE","11","IFT81",5.13488260348837,5.22086205813953,5.01323957441861,7.84946432674419,4.19824460697674,5.51175892209302,6.19402843565891,4.78212226162791,NA,"Macaca_fascicularis","heart","GSE125483"
"32","ENSMFAG00000001388","+","FZD6","chr8",104482328,104482525,NA,NA,0.000395336336575,0.0311707496146,"0.856,0.79,1.0","1.0,0.951,1.0","SE","8","FZD6",5.24592774270214,5.85895782278481,5.57336937638853,6.38840306303281,5.54604817876518,5.51933104624128,5.92223064401963,5.45511509928528,NA,"Macaca_fascicularis","heart","GSE125483"
"33","ENSMFAG00000001485","-","MARF1","chr20",15667849,15668278,NA,NA,4.69030359092e-05,0.00766422796922,"0.676,0.312,1.0","0.905,1.0,1.0","SE","20","MARF1",4.6823571595566,3.98045580853208,5.703532,4.97336179274437,2.956573,5.836442,4.93008653375882,4.44748738651887,NA,"Macaca_fascicularis","heart","GSE125483"
"34","ENSMFAG00000001487","+",NA,"chr18",70296097,70296163,NA,NA,4.65197880217e-11,8.74184349908e-08,"0.989,1.0,0.98","0.971,0.0,0.0","SE","18","ENSMFAG00000001487",325.907728220532,288.518152679658,261.368807540875,361.827320218631,315.122575830798,301.824431041825,317.389967980038,300.799703864068,NA,"Macaca_fascicularis","heart","GSE125483"
"35","ENSMFAG00000001543","-","TTN","chr12",67662264,67662348,NA,NA,1.70218950302e-06,0.00081668879347,"0.892,1.0,1.0","0.897,0.647,1.0","SE","12","TTN",49.4289169067438,36.6749921839013,45.0378721578162,48.2139248468466,31.2076329379091,44.2942512782944,43.0610561030141,41.891474000823,NA,"Macaca_fascicularis","heart","GSE125483"
"36","ENSMFAG00000001543","-","TTN","chr12",67773214,67773352,NA,NA,3.96696669458e-06,0.00165657590672,"1.0,1.0,0.877","0.893,0.722,1.0","SE","12","TTN",49.4289169067438,36.6749921839013,45.0378721578162,48.2139248468466,31.2076329379091,44.2942512782944,43.0610561030141,41.891474000823,NA,"Macaca_fascicularis","heart","GSE125483"
"37","ENSMFAG00000001543","-","TTN","chr12",67697665,67697947,NA,NA,0.000165143769835,0.0187135276873,"0.828,0.709,1.0","1.0,0.936,1.0","SE","12","TTN",49.4289169067438,36.6749921839013,45.0378721578162,48.2139248468466,31.2076329379091,44.2942512782944,43.0610561030141,41.891474000823,NA,"Macaca_fascicularis","heart","GSE125483"
"38","ENSMFAG00000001543","-","TTN","chr12",67678032,67678119,NA,NA,4.9301619507e-05,0.00794108228488,"0.643,0.473,1.0","1.0,1.0,0.782","SE","12","TTN",49.4289169067438,36.6749921839013,45.0378721578162,48.2139248468466,31.2076329379091,44.2942512782944,43.0610561030141,41.891474000823,NA,"Macaca_fascicularis","heart","GSE125483"
"39","ENSMFAG00000001543","-","TTN","chr12",67740683,67741058,NA,NA,0.000547311302568,0.0399413264495,"0.129,0.002,0.108","0.053,0.006,0.011","SE","12","TTN",49.4289169067438,36.6749921839013,45.0378721578162,48.2139248468466,31.2076329379091,44.2942512782944,43.0610561030141,41.891474000823,NA,"Macaca_fascicularis","heart","GSE125483"
"40","ENSMFAG00000001543","-","TTN","chr12",67678935,67679013,NA,NA,0.000126362135431,0.0155708533004,"0.91,0.91,1.0","1.0,1.0,0.935","SE","12","TTN",49.4289169067438,36.6749921839013,45.0378721578162,48.2139248468466,31.2076329379091,44.2942512782944,43.0610561030141,41.891474000823,NA,"Macaca_fascicularis","heart","GSE125483"
"41","ENSMFAG00000001606","-","ODF2","chr15",10728238,10728355,NA,NA,5.63125154862e-06,0.002158292225,"1.0,1.0,1.0","1.0,0.589,0.819","SE","15","ODF2",2.10506365297223,2.19497496717925,3.60997918315355,2.41443387238926,3.35288705577232,2.43178856759238,2.34706580238696,3.02264329729937,NA,"Macaca_fascicularis","heart","GSE125483"
"42","ENSMFAG00000001606","-","ODF2","chr15",10728238,10728392,NA,NA,3.66636739557e-06,0.0015899343225,"1.0,1.0,1.0","1.0,0.665,0.815","SE","15","ODF2",2.10506365297223,2.19497496717925,3.60997918315355,2.41443387238926,3.35288705577232,2.43178856759238,2.34706580238696,3.02264329729937,NA,"Macaca_fascicularis","heart","GSE125483"
"43","ENSMFAG00000001631","+","RETSAT","chr13",24111733,24111900,NA,NA,0,0,"0.993,0.888,0.9","0.985,0.995,0.968","SE","13","RETSAT",188.48111588,264.42084287,359.60878612,104.12915621,226.12696489,234.7800938,201.11003096,258.072288963333,NA,"Macaca_fascicularis","heart","GSE125483"
"44","ENSMFAG00000001777","-",NA,"chr1",152902960,152903017,NA,NA,0.00020873238223,0.0209612928325,"0.978,0.946,0.96","0.964,0.989,0.973","SE","1","ENSMFAG00000001777",23.2084640685782,31.8507966560394,39.5515925575051,30.0684935636033,29.3942866956243,27.661588961378,29.8602930603402,30.7181144405692,NA,"Macaca_fascicularis","heart","GSE125483"
"45","ENSMFAG00000001777","-",NA,"chr1",152778485,152778655,NA,NA,0.000193606168751,0.0201189820522,"0.989,0.906,0.995","0.978,0.992,0.977","SE","1","ENSMFAG00000001777",23.2084640685782,31.8507966560394,39.5515925575051,30.0684935636033,29.3942866956243,27.661588961378,29.8602930603402,30.7181144405692,NA,"Macaca_fascicularis","heart","GSE125483"
"46","ENSMFAG00000001777","-",NA,"chr1",152921586,152921691,NA,NA,0.000648972899101,0.0450287349992,"0.965,0.962,0.956","0.986,0.908,0.966","SE","1","ENSMFAG00000001777",23.2084640685782,31.8507966560394,39.5515925575051,30.0684935636033,29.3942866956243,27.661588961378,29.8602930603402,30.7181144405692,NA,"Macaca_fascicularis","heart","GSE125483"
