"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474161","FPKM.SRR8474173","FPKM.SRR8474185","FPKM.SRR8474197","FPKM.SRR8474226","..files.spleen_mean_female","..files.spleen_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMFAG00000000077","+","TBC1D15","chr11",70992662,70992713,NA,NA,0.000901334858974,0.0499827512698,"0.093,0.091,0.129","0.174,0.125","SE","11","TBC1D15",17.6150347861616,18.031156497465,14.699739774232,18.0653243304503,19.3745861583656,18.4903556620936,10.7715915201312,NA,"Macaca_fascicularis","spleen","GSE125483"
"2","ENSMFAG00000000151","-","DAB2","chr6",39838524,39839178,NA,NA,0.000482741613711,0.0332656891051,"0.985,0.954,0.994","0.89,0.989","SE","6","DAB2",86.673027086984,97.0743201251053,102.684736199663,156.095927896799,103.684091371104,118.951446464336,63.1192544288823,NA,"Macaca_fascicularis","spleen","GSE125483"
"3","ENSMFAG00000000167","+","PPFIA4","chr1",61518198,61518291,NA,NA,2.16068266622e-05,0.00376732609807,"1.0,1.0,1.0","0.776,1.0","SE","1","PPFIA4",7.54811056631242,5.38015672514194,4.92223198209346,4.50059135638375,4.56176190275149,4.81416999475906,4.15678084946863,NA,"Macaca_fascicularis","spleen","GSE125483"
"4","ENSMFAG00000000236","+","DOCK11","chrX",115274142,115274181,NA,NA,0.000283632138786,0.0231645272041,"1.0,1.0,1.0","0.227,1.0","SE","X","DOCK11",25.3867484083986,26.9510316781495,21.4602552632028,33.1939502425623,31.7512034707473,30.632061797153,15.6156678905338,NA,"Macaca_fascicularis","spleen","GSE125483"
"5","ENSMFAG00000000238","+","ARMC2","chr4",12782694,12782767,NA,NA,0.000202187111075,0.0178648398281,"1.0,0.959,1.0","0.801,1.0","SE","4","ARMC2",6.201969,5.37289,4.488731,6.363575,6.983054,6.23983966666667,3.56356666666667,NA,"Macaca_fascicularis","spleen","GSE125483"
"6","ENSMFAG00000000238","+","ARMC2","chr4",12793319,12793491,NA,NA,0.000172596868614,0.0156699363398,"1.0,0.965,1.0","0.748,1.0","SE","4","ARMC2",6.201969,5.37289,4.488731,6.363575,6.983054,6.23983966666667,3.56356666666667,NA,"Macaca_fascicularis","spleen","GSE125483"
"7","ENSMFAG00000000255","+","CLCC1","chr1",117861213,117861307,NA,NA,3.00317052396e-05,0.00453951021902,"1.0,1.0,1.0","0.905,1.0","SE","1","CLCC1",12.3964968591173,10.4202488640214,9.8864889843959,13.3632701609452,12.5172970091395,12.1002720113687,7.42766194783773,NA,"Macaca_fascicularis","spleen","GSE125483"
"8","ENSMFAG00000000255","+","CLCC1","chr1",117863282,117863380,NA,NA,4.43963915401e-05,0.00603002728139,"1.0,1.0,1.0","0.91,1.0","SE","1","CLCC1",12.3964968591173,10.4202488640214,9.8864889843959,13.3632701609452,12.5172970091395,12.1002720113687,7.42766194783773,NA,"Macaca_fascicularis","spleen","GSE125483"
"9","ENSMFAG00000000307","+","UBE2A","chrX",116287447,116287537,NA,NA,8.14946488537e-05,0.00903843166148,"1.0,0.974,0.955","0.941,0.844","SE","X","UBE2A",30.5540543441034,28.74574226979,36.6306232988691,27.561046904685,28.9321374588045,28.4129755444265,22.3948925476575,NA,"Macaca_fascicularis","spleen","GSE125483"
"10","ENSMFAG00000000327","+","GRK4","chr5",3124512,3124721,NA,NA,0.000426266119845,0.0303791597617,"1.0,0.962,0.978","0.902,1.0","SE","5","GRK4",12.9046904552469,16.0178656682099,5.03748798765432,13.7141654537037,10.7407738703704,13.490934997428,5.98072614763374,NA,"Macaca_fascicularis","spleen","GSE125483"
