"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474236","FPKM.SRR8474246","FPKM.SRR8474266","FPKM.SRR8474277","FPKM.SRR8474287","FPKM.SRR8474298","..files.skin_mean_female","..files.skin_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSCAFG00000000079","-","RELCH","chr1",14613356,14613480,NA,NA,6.94589536859e-05,0.0102724180164,"1.0,1.0,0.97","0.878,1.0,0.955","SE","1","RELCH",16.1560471772514,14.4348448141593,11.0384922095263,12.6193338193649,13.7433164112441,13.2245904135867,13.6459519326739,13.426256349037,NA,"dog","skin","GSE125483"
"2","ENSCAFG00000000226","-","HBS1L","chr1",27778023,27778218,NA,NA,0.000612604857253,0.0466175095801,"1.0,0.983,0.974","0.912,0.956,0.963","SE","1","HBS1L",20.2201571441732,21.4195221421004,20.450748658222,24.6998889900967,21.8847761529249,23.4353723479963,20.8518939851067,23.1849278267311,NA,"dog","skin","GSE125483"
"3","ENSCAFG00000000226","-","HBS1L","chr1",27778918,27779047,NA,NA,0.000643026187075,0.0483064853928,"1.0,0.978,0.978","0.932,0.944,0.954","SE","1","HBS1L",20.2201571441732,21.4195221421004,20.450748658222,24.6998889900967,21.8847761529249,23.4353723479963,20.8518939851067,23.1849278267311,NA,"dog","skin","GSE125483"
"4","ENSCAFG00000000246","+","COL23A1","chr11",3301120,3301156,NA,NA,5.54101183536e-06,0.00182454644855,"1.0,0.888,0.883","1.0,0.963,1.0","SE","11","COL23A1",3.20799215423515,6.40023709608091,6.39705794563843,4.38383751201011,6.66698501643489,7.59401016561315,5.42401170543616,6.12602825790139,NA,"dog","skin","GSE125483"
"5","ENSCAFG00000000336","+","HNRNPH1","chr11",2057142,2057202,2057293,2057353,1.36965369886e-05,0.0052645162962,"0.679,0.797,0.85","0.912,0.933,0.806","MXE","11","HNRNPH1",184.823277493372,227.662360173571,218.910320989644,210.19618346396,235.788329065037,265.351483777962,213.173975849351,234.403342471831,NA,"dog","skin","GSE125483"
"6","ENSCAFG00000000336","+","HNRNPH1","chr11",2057142,2057232,2057293,2057383,0.000102394753105,0.0233684025602,"0.299,0.297,0.358","0.479,0.448,0.354","MXE","11","HNRNPH1",184.823277493372,227.662360173571,218.910320989644,210.19618346396,235.788329065037,265.351483777962,213.173975849351,234.403342471831,NA,"dog","skin","GSE125483"
"7","ENSCAFG00000000336","+","HNRNPH1","chr11",2057142,2057232,2057293,2057353,8.02135749822e-06,0.00344588081232,"0.839,0.874,0.916","0.933,0.946,0.919","MXE","11","HNRNPH1",184.823277493372,227.662360173571,218.910320989644,210.19618346396,235.788329065037,265.351483777962,213.173975849351,234.403342471831,NA,"dog","skin","GSE125483"
"8","ENSCAFG00000000429","+","CCDC170","chr1",41897911,41898229,NA,NA,0.000134824283984,0.0167262816817,"1.0,1.0,1.0","0.313,0.719,1.0","SE","1","CCDC170",1.90295503147293,1.2597574527906,1.90069626521192,1.73279920772136,1.20538004699958,1.7963699613932,1.66967711456148,1.59630887396839,NA,"dog","skin","GSE125483"
"9","ENSCAFG00000000454","+","VARS2","chr12",684149,684231,NA,NA,5.3015912771e-09,6.04803904581e-06,"1.0,1.0,1.0","0.924,1.0,1.0","SE","12","VARS2",41.239567,43.245983,48.990612,38.025551,43.971245,48.196148,44.733808,43.155894,NA,"dog","skin","GSE125483"
"10","ENSCAFG00000000555","-","RNF19A","chr13",2158679,2158888,NA,NA,7.58071566168e-05,0.0108573721507,"0.967,1.0,0.966","0.806,0.91,0.938","SE","13","RNF19A",17.458639,19.035627,17.385609,18.147755,21.76639,22.317192,18.8702126666667,19.8335246666667,NA,"dog","skin","GSE125483"
"11","ENSCAFG00000000612","+","SBF1","chr10",16832049,16832053,NA,NA,1.20321363232e-05,0.00277541277855,"1.0,1.0,1.0","0.962,0.963,1.0","A3SS","10","SBF1",45.2175716227637,44.5735770507753,45.5378107122167,39.9832719802351,40.634551039189,39.0159668882263,43.7966444580565,41.1909386397456,NA,"dog","skin","GSE125483"
"12","ENSCAFG00000000751","-","TNXB","chr12",1470752,1471049,NA,NA,4.3427611256e-05,0.00768886948433,"0.873,0.894,0.727","0.965,0.92,0.964","SE","12","TNXB",38.82991,61.41976833241,69.446556,28.5411227617729,46.5598241163435,75.4746440138504,51.6120967054478,55.1451783693444,NA,"dog","skin","GSE125483"
"13","ENSCAFG00000000789","+","WNT7B","chr10",20201540,20201812,NA,NA,0.000331192319534,0.0308701031591,"0.947,0.946,0.933","1.0,1.0,1.0","SE","10","WNT7B",9.12404550109336,8.5771276509672,8.21962040958789,4.69729961715727,2.70850616955425,12.4260109996636,6.6840573600785,8.56681275592936,NA,"dog","skin","GSE125483"
"14","ENSCAFG00000000840","+","SLC22A4","chr11",20679827,20680042,NA,NA,0.000453952662373,0.0375448689047,"0.927,1.0,1.0","0.641,1.0,1.0","SE","11","SLC22A4",3.89081712350781,3.44504904269972,4.01729717768595,4.60289414921947,3.33474735629017,3.89224938888889,3.74762055249464,3.98006419360269,NA,"dog","skin","GSE125483"
