"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474232","FPKM.SRR8474261","FPKM.SRR8474272","FPKM.SRR8474283","FPKM.SRR8474294","..files.heart_mean_female","..files.heart_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSCAFG00000000001","-","ENPP1","chr1",278244,278317,NA,NA,0.00025054519755,0.0295929343608,"1.0,1.0,1.0","0.879,0.724","SE","1","ENPP1",2.810557,1.648581,2.750194,1.682105,2.559961,2.047081,1.77005166666667,NA,"Macaca_fascicularis","heart","GSE125483"
"2","ENSCAFG00000000394","+","RPP21","chr12",332406,332489,NA,NA,0.000187220322363,0.0249630313328,"1.0,0.986,0.964","0.94,0.978","SE","12","RPP21",10.585797,9.298407,10.71796,10.27746,8.498647,10.053888,6.40553566666667,NA,"Macaca_fascicularis","heart","GSE125483"
"3","ENSCAFG00000000512","+","SRFBP1","chr11",11951624,11951713,NA,NA,3.3953912936e-05,0.0079122254645,"0.923,1.0,1.0","0.705,0.756","SE","11","SRFBP1",3.40110391075347,3.44442231967813,3.12063416752012,3.29441033942941,4.0212167037308,3.37997885662034,2.38061695708364,NA,"Macaca_fascicularis","heart","GSE125483"
"4","ENSCAFG00000000529","-","RGS22","chr13",1926650,1926809,NA,NA,1.15247865206e-05,0.00346641456893,"1.0,0.806,1.0","0.134,0.481","SE","13","RGS22",1.21188389457831,2.90697610820204,1.60140363785913,1.87376328104727,2.07908120389249,1.99754109460921,1.22682828058387,NA,"Macaca_fascicularis","heart","GSE125483"
"5","ENSCAFG00000000612","+","SBF1","chr10",16834500,16834521,NA,NA,2.27448965247e-05,0.00219109169855,"0.906,0.959,1.0","1.0,1.0","A3SS","10","SBF1",9.11514546311126,8.94212682620549,10.3036876341796,8.76235897870165,11.5597866602488,8.93987708933947,7.28782476480947,NA,"Macaca_fascicularis","heart","GSE125483"
"6","ENSCAFG00000000669","-","EHMT2","chr12",1349103,1349205,NA,NA,0.000364866507726,0.036826711774,"0.991,1.0,1.0","0.901,0.951","SE","12","EHMT2",5.65535881514793,5.53855420473373,5.83117626414201,4.82709988994083,5.33841322343195,5.3403376366075,3.72319649585799,NA,"Macaca_fascicularis","heart","GSE125483"
"7","ENSCAFG00000000688","+","HDAC10","chr10",16999052,16999317,NA,NA,5.62365918002e-05,0.0111043658023,"0.901,0.87,0.884","1.0,1.0","SE","10","HDAC10",5.3121787366212,4.78501292759706,4.41110905561385,4.80627857082896,5.89701061490032,4.96782341168241,3.43603989017139,NA,"Macaca_fascicularis","heart","GSE125483"
"8","ENSCAFG00000000791","-","NOTCH4","chr12",1598313,1598431,NA,NA,0.000372678215389,0.036826711774,"0.947,0.822,0.858","0.706,0.839","SE","12","NOTCH4",12.817554,7.039501,8.777093,13.191726,14.088927,11.0162603333333,7.62200666666667,NA,"Macaca_fascicularis","heart","GSE125483"
"9","ENSCAFG00000000867","+","RAD50","chr11",20894379,20894490,NA,NA,2.62287946917e-08,3.23076301091e-05,"0.718,1.0,0.817","1.0,0.977","SE","11","RAD50",8.30449966960557,8.60427068491879,9.52722656148492,8.07473544779582,9.83034816682135,8.32783526744006,6.45252490943542,NA,"Macaca_fascicularis","heart","GSE125483"
"10","ENSCAFG00000000943","+","ARFGAP3","chr10",22687671,22687800,NA,NA,2.80081913684e-06,0.00113201232207,"0.986,0.951,0.975","0.766,0.965","SE","10","ARFGAP3",5.83772634058225,6.59061841774816,5.46081758751315,8.36039688600491,6.42525733461943,6.92958054811177,3.96202497404419,NA,"Macaca_fascicularis","heart","GSE125483"
"11","ENSCAFG00000001136","-","EPB41L2","chr1",69143377,69143542,NA,NA,6.26947813864e-06,0.00219152150016,"0.417,0.211,1.0","1.0,1.0","SE","1","EPB41L2",5.85879831265759,6.3499063640948,5.79555140090771,5.22273141880988,8.33638058194655,5.81047869852076,4.71064399428475,NA,"Macaca_fascicularis","heart","GSE125483"
"12","ENSCAFG00000001136","-","EPB41L2","chr1",69141331,69141385,NA,NA,5.72298620705e-06,0.00208502090448,"0.787,0.518,1.0","1.0,1.0","SE","1","EPB41L2",5.85879831265759,6.3499063640948,5.79555140090771,5.22273141880988,8.33638058194655,5.81047869852076,4.71064399428475,NA,"Macaca_fascicularis","heart","GSE125483"
"13","ENSCAFG00000001181","-","TRAPPC9","chr13",35051628,35051772,NA,NA,8.60178447391e-05,0.0147354806711,"0.966,1.0,1.0","0.771,0.922","SE","13","TRAPPC9",2.90095,2.984239,2.213385,3.26816,3.388314,3.05111633333333,1.867233,NA,"Macaca_fascicularis","heart","GSE125483"
