"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474235","FPKM.SRR8474245","FPKM.SRR8474265","FPKM.SRR8474276","FPKM.SRR8474280","FPKM.SRR8474292","..files.pituitary_mean_female","..files.pituitary_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSCAFG00000000016","+","MBP","chr1",2919223,2919660,2926747,2926825,2.06285566406e-09,9.98769066086e-07,"0.918,1.0,1.0","0.933,0.841,0.887","MXE","1","MBP",8.32269763402541,8.6578126637744,7.92724412488379,7.75736128943291,8.32968211062907,38.9439589157112,8.19320795651276,18.4530442896395,NA,"dog","pituitary","GSE125483"
"2","ENSCAFG00000000029","+","FBXO15","chr1",5191454,5191559,NA,NA,0.000766160035734,0.034643751357,"1.0,0.763,1.0","1.0,0.47,0.585","SE","1","FBXO15",2.561559,2.165066,2.647805,2.410561,1.857815,2.165245,2.35572633333333,2.24695733333333,NA,"dog","pituitary","GSE125483"
"3","ENSCAFG00000000029","+","FBXO15","chr1",5202459,5202602,NA,NA,0.000989774098937,0.0410997523946,"1.0,0.833,1.0","1.0,0.59,0.332","SE","1","FBXO15",2.561559,2.165066,2.647805,2.410561,1.857815,2.165245,2.35572633333333,2.24695733333333,NA,"dog","pituitary","GSE125483"
"4","ENSCAFG00000000103","-","ZNF532","chr1",17255955,17255913,NA,NA,0.000423094789894,0.0102336052306,"0.943,0.987,1.0","0.85,0.882,0.933","A3SS","1","ZNF532",60.4217317353291,46.7462702611023,79.3334781691118,47.390757935567,52.3937712480175,51.8545104349722,64.0496603841528,48.6638462105472,NA,"dog","pituitary","GSE125483"
"5","ENSCAFG00000000108","+","ESYT1","chr10",457760,457832,NA,NA,0.000190013666879,0.0126080381232,"0.988,1.0,0.981","0.94,0.963,0.944","SE","10","ESYT1",23.7121493019847,26.5420044549618,33.9725976549618,29.1285631767939,27.6958172793893,27.9792102064122,28.4601880787786,27.8832592793893,NA,"dog","pituitary","GSE125483"
"6","ENSCAFG00000000129","-","ST8SIA3","chr1",18553063,18553621,NA,NA,0.000146411956202,0.0104792053967,"0.991,1.0,1.0","0.945,0.941,0.972","SE","1","ST8SIA3",29.876562,29.540638,29.306934,29.114403,31.085155,29.238777,30.0895503333333,29.2979393333333,NA,"dog","pituitary","GSE125483"
"7","ENSCAFG00000000131","-","GLS2","chr10",723977,724039,NA,NA,0.000152930083306,0.0107947545009,"1.0,0.956,1.0","0.765,0.95,1.0","SE","10","GLS2",3.8559020757764,5.95869403850932,6.51819291428571,5.95305810351967,4.58380942691511,5.98420106666667,4.98596813899241,5.96531773623189,NA,"dog","pituitary","GSE125483"
"8","ENSCAFG00000000140","+","TCF4","chr1",20292075,20292078,NA,NA,1.11950077727e-05,0.000577662401071,"0.95,1.0,1.0","0.526,0.82,1.0","A3SS","1","TCF4",7.91451400821018,5.93198885221675,8.45770647027915,5.22216093924466,7.5926169093596,6.58440569195402,7.98827912928298,5.91285182780514,NA,"dog","pituitary","GSE125483"
"9","ENSCAFG00000000149","+","STARD6","chr1",21134774,21134892,NA,NA,2.21364455989e-05,0.00257461955346,"0.989,1.0,0.974","0.929,0.953,0.955","SE","1","STARD6",16.291643,20.898216,19.110432,18.67074,15.181865,15.57516,16.8613133333333,18.381372,NA,"dog","pituitary","GSE125483"
"10","ENSCAFG00000000149","+","STARD6","chr1",21137943,21138037,NA,NA,1.64227671587e-05,0.0021034979256,"0.975,1.0,0.926","0.876,0.914,0.888","SE","1","STARD6",16.291643,20.898216,19.110432,18.67074,15.181865,15.57516,16.8613133333333,18.381372,NA,"dog","pituitary","GSE125483"
