"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474315","FPKM.SRR8474324","FPKM.SRR8474332","FPKM.SRR8474342","FPKM.SRR8474351","FPKM.SRR8474361","..files.muscle_mean_female","..files.muscle_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMUSG00000000740","+","Rpl13","chr8",123103954,123105043,NA,NA,2.05053728952e-06,0.00112246411228,"0.005,0.011,0.072","0.012,0.008,0.006","RI","8","Rpl13",58.936779222736,47.2409616543353,38.9401626932563,48.6575726793834,54.1758093302505,51.3218945344894,50.6842504154143,49.0734762894027,NA,"mus","muscle","GSE125483"
"2","ENSMUSG00000001520","+","Nrip2","chr6",128407738,128407983,NA,NA,0.000335829278163,0.0239368150325,"1.0,0.0,0.282","1.0,0.529,1.0","RI","6","Nrip2",0.501979386212404,0.389940780143732,0.190335297045515,0.539888665424541,0.477461433856801,0.600791135214267,0.389925372371573,0.510206860260847,NA,"mus","muscle","GSE125483"
"3","ENSMUSG00000001870","+","Ltbp1","chr17",75348743,75348869,NA,NA,0.000169137623673,0.0177513535547,"1.0,1.0,0.904","1.0,0.694,0.734","SE","17","Ltbp1",0.972143969413525,0.801910965765597,1.31051660518193,1.48843752642409,1.22213423084838,1.2809764260593,1.16826493514794,1.19044163941633,NA,"mus","muscle","GSE125483"
"4","ENSMUSG00000002308","+","Cd320","chr17",33847725,33848016,NA,NA,0.000352141179066,0.0239368150325,"0.025,0.023,0.02","0.053,0.042,0.078","RI","17","Cd320",3.11800673950746,2.89558254734651,3.97218106104752,2.54462554804024,3.29822122650017,2.77081032639612,3.46280300901838,2.73700614059429,NA,"mus","muscle","GSE125483"
"5","ENSMUSG00000002395","+","Use1","chr8",71367497,71367643,NA,NA,0.000472811451244,0.0242378928637,"0.247,0.094,0.215","0.289,0.335,0.295","A3SS","8","Use1",10.1916617290059,8.73110809850204,10.5959608315933,7.25444644394008,8.14816595324558,9.24790193917385,9.64526283794826,8.41115216053866,NA,"mus","muscle","GSE125483"
"6","ENSMUSG00000003234","+","Abcf3","chr16",20551473,20551478,NA,NA,1.50256824427e-06,0.000379330183122,"1.0,1.0,1.0","1.0,0.909,0.899","A3SS","16","Abcf3",11.6905757262507,11.7515325489039,11.6421313659359,10.7298284005059,11.5424060528387,11.5209218333333,11.6250377150084,11.3340942609144,NA,"mus","muscle","GSE125483"
"7","ENSMUSG00000004071","-","Cdip1","chr16",4768967,4769639,NA,NA,0.000249848592313,0.0207222908231,"0.501,1.0,1.0","1.0,1.0,1.0","RI","16","Cdip1",8.02322002407371,9.5769758684367,8.79269418615019,10.1341813421835,10.8065924645334,9.42124625094115,9.2075022249191,9.71080115385378,NA,"mus","muscle","GSE125483"
"8","ENSMUSG00000004071","-","Cdip1","chr16",4769018,4768967,NA,NA,7.26426231854e-05,0.00720459159235,"0.918,1.0,1.0","1.0,1.0,1.0","A3SS","16","Cdip1",8.02322002407371,9.5769758684367,8.79269418615019,10.1341813421835,10.8065924645334,9.42124625094115,9.2075022249191,9.71080115385378,NA,"mus","muscle","GSE125483"
"9","ENSMUSG00000004319","-","Clcn3","chr8",60975731,60975907,NA,NA,2.72133978126e-05,0.00450088255979,"0.937,1.0,1.0","0.742,0.835,0.808","SE","8","Clcn3",2.62011483381173,2.99448224327807,2.62940664348896,2.97131186573722,2.15251262199051,2.31345672011013,2.46734469976373,2.75975027637514,NA,"mus","muscle","GSE125483"
"10","ENSMUSG00000004562","+","Arhgef40","chr14",52004899,52004988,NA,NA,6.39896243219e-05,0.012015654197,"0.608,0.816,0.509","1.0,1.0,1.0","RI","14","Arhgef40",0.936486934207988,0.647342923403434,1.21981426538684,1.1050454899672,1.08645392185993,1.04900135539263,1.08091837381825,0.933796589587755,NA,"mus","muscle","GSE125483"
