"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474314","FPKM.SRR8474323","FPKM.SRR8474331","FPKM.SRR8474341","FPKM.SRR8474350","FPKM.SRR8474360","..files.lung_mean_female","..files.lung_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMUSG00000000131","-","Xpo6","chr7",126152825,126151223,NA,NA,5.69463322353e-05,0.00519872558031,"0.782,0.893,0.594","0.883,1.0,1.0","A5SS","7","Xpo6",2.67604402683215,2.77262781613475,2.442998981974,2.80628341217494,3.01479360803783,2.95545206962175,2.71127887228133,2.84478776597715,NA,"mus","lung","GSE125483"
"2","ENSMUSG00000000326","-","Comt","chr16",18411126,18411320,18411689,18411957,3.73042660207e-07,0.000643871631517,"0.309,0.328,0.207","0.894,0.439,1.0","MXE","16","Comt",15.25917985703,16.7661763491311,14.9880729439179,13.4087773605845,15.3682185110584,13.032512735782,15.2051571040021,14.4024888151659,NA,"mus","lung","GSE125483"
"3","ENSMUSG00000000530","+","Acvrl1","chr15",101131342,101131471,NA,NA,0.00014341930524,0.0221158575771,"0.279,0.3,0.247","0.151,0.139,0.103","SE","15","Acvrl1",137.268860860961,130.895512770457,119.692124371161,149.347339936694,131.009656156858,116.644280294021,129.32354712966,132.295711000391,NA,"mus","lung","GSE125483"
"4","ENSMUSG00000001518","-","Itfg2","chr6",128415895,128416064,NA,NA,8.03872364585e-06,0.00348027526778,"1.0,1.0,1.0","0.888,0.96,0.833","SE","6","Itfg2",1.92750320870913,1.80187635343856,1.96641675986471,1.9314814994363,2.19336224788613,1.59469002353439,2.02909407215332,1.77601595880308,NA,"mus","lung","GSE125483"
"5","ENSMUSG00000001518","-","Itfg2","chr6",128415917,128416064,NA,NA,1.01845959966e-06,0.000999889686293,"1.0,1.0,1.0","0.82,0.936,0.76","SE","6","Itfg2",1.92750320870913,1.80187635343856,1.96641675986471,1.9314814994363,2.19336224788613,1.59469002353439,2.02909407215332,1.77601595880308,NA,"mus","lung","GSE125483"
"6","ENSMUSG00000001576","+","Ergic1","chr17",26630079,26630529,NA,NA,0.000895698968787,0.0327079406769,"1.0,1.0,1.0","0.083,1.0,0.656","A5SS","17","Ergic1",7.6303492430243,7.36690209428443,7.00023253274077,3.00560886431143,7.30936191865437,6.36521859912241,7.31331456480648,5.57924318590609,NA,"mus","lung","GSE125483"
"7","ENSMUSG00000001909","+","Trmt1","chr8",84690572,84690810,NA,NA,7.63340200494e-07,0.000271070586753,"0.588,0.593,0.652","0.33,0.439,0.357","RI","8","Trmt1",3.5387711861719,3.52599009546464,3.58766020980019,3.25789079384713,3.83518879400571,3.72488794719315,3.65387339665927,3.50292294550164,NA,"mus","lung","GSE125483"
"8","ENSMUSG00000001998","+","Ap4e1","chr2",127050932,127051012,NA,NA,0.000294837468586,0.0340543057344,"0.069,0.06,0.144","0.0,0.024,0.0","SE","2","Ap4e1",2.45342371518858,2.06718069673802,2.66847609520897,2.39414978848114,2.35439408766565,1.41060594271152,2.49209796602107,1.95731214264356,NA,"mus","lung","GSE125483"
"9","ENSMUSG00000002055","+","Spag5","chr11",78314256,78314342,NA,NA,0.00128809843264,0.0428829436533,"0.404,0.311,0.404","0.0,0.311,0.07","RI","11","Spag5",0.430981910384068,0.530041654338549,0.774167513691323,0.583893605796586,0.492045134423898,0.575941007112376,0.565731519499763,0.563292089082504,NA,"mus","lung","GSE125483"
"10","ENSMUSG00000002107","-","Celf2","chr2",6560670,6560658,NA,NA,2.98972615784e-05,0.00362053358942,"0.3,0.0,0.3","0.3,1.0,1.0","A5SS","2","Celf2",2.51374962768506,2.34421962088549,2.54953409758924,2.7804257591176,2.30476873087622,2.76316847056096,2.45601748538351,2.62927128352135,NA,"mus","lung","GSE125483"
"11","ENSMUSG00000002108","-","Nr1h3","chr2",91190284,91190461,NA,NA,0.00142016539715,0.046792253704,"0.159,0.111,0.124","0.072,0.133,0.074","RI","2","Nr1h3",16.4869360528827,16.6826936007952,13.187286582505,12.4136513145129,14.1606061184891,13.4634602170974,14.6116095846256,14.1866017108018,NA,"mus","lung","GSE125483"
"12","ENSMUSG00000002769","-","Gnmt","chr17",46726182,46726268,NA,NA,4.42805591594e-05,0.00589669446139,"0.071,0.052,0.036","0.212,0.131,0.131","RI","17","Gnmt",4.55523679104478,3.95100824626866,3.43715439718076,3.08974093283582,5.15608485074627,4.59975994029851,4.38282534632394,3.88016970646766,NA,"mus","lung","GSE125483"
"13","ENSMUSG00000002949","-","Timm44","chr8",4265276,4266555,NA,NA,0.000489029612522,0.0242410499695,"0.268,0.334,0.295","0.228,0.217,0.202","RI","8","Timm44",8.2154060371179,7.87616088073144,8.81328309143013,8.44879355895197,8.85840087363537,8.55249279858079,8.6290300007278,8.29248241275473,NA,"mus","lung","GSE125483"
"14","ENSMUSG00000002949","-","Timm44","chr8",4266555,4265225,NA,NA,0.000159500803826,0.0105898867025,"1.0,1.0,1.0","0.9,0.894,0.924","A5SS","8","Timm44",8.2154060371179,7.87616088073144,8.81328309143013,8.44879355895197,8.85840087363537,8.55249279858079,8.6290300007278,8.29248241275473,NA,"mus","lung","GSE125483"
"15","ENSMUSG00000002983","-","Relb","chr7",19617761,19617703,NA,NA,0.000230504014887,0.0132903762268,"0.355,1.0,0.155","1.0,0.524,1.0","A5SS","7","Relb",4.31375369137709,4.79924732406692,4.79245566435006,6.02393179356499,5.04837512612613,3.79202783603604,4.71819482728443,4.87173565122265,NA,"mus","lung","GSE125483"
"16","ENSMUSG00000003352","+","Cacnb3","chr15",98640685,98640688,NA,NA,4.26470792025e-06,0.00100273944975,"0.9,0.915,0.823","0.98,1.0,1.0","A3SS","15","Cacnb3",4.75150321446384,5.41142098753117,5.35268681496259,5.41961915685786,5.35475855436409,5.78410029950125,5.15298286126351,5.53838014796343,NA,"mus","lung","GSE125483"
"17","ENSMUSG00000003500","-","Impdh1","chr6",29206374,29206305,NA,NA,4.09723527217e-07,0.000149617374689,"1.0,1.0,1.0","0.86,1.0,1.0","A5SS","6","Impdh1",34.5699804231937,28.1985983852459,32.8915565188221,36.2686133433516,33.4152309529447,25.8786390537341,33.6255892983202,30.1152835941105,NA,"mus","lung","GSE125483"
"18","ENSMUSG00000004071","-","Cdip1","chr16",4768967,4769639,NA,NA,0.000205394018505,0.0131287856628,"1.0,1.0,1.0","0.781,1.0,1.0","RI","16","Cdip1",7.82388027372697,4.86678282702596,8.22998114850406,8.04175304458094,8.18591941747573,7.7686158652665,8.07992694656892,6.89238391229113,NA,"mus","lung","GSE125483"
"19","ENSMUSG00000004267","-","Eno2","chr6",124762761,124763004,NA,NA,5.10254805082e-05,0.00603990502608,"0.475,0.746,0.414","1.0,0.772,0.811","RI","6","Eno2",0.739459853560043,0.976903077789586,0.528223175132837,0.596424495855473,0.921564598724761,0.725471961317747,0.729749209139214,0.766266511654269,NA,"mus","lung","GSE125483"
"20","ENSMUSG00000004562","+","Arhgef40","chr14",52004899,52004988,NA,NA,0.00125043500653,0.042514790222,"0.836,0.903,0.751","0.648,0.689,0.626","RI","14","Arhgef40",4.0469906482732,4.07906843401505,4.25202421329346,3.40684894144318,4.2197003830793,3.20891646922632,4.17290508154865,3.56494461489485,NA,"mus","lung","GSE125483"
"21","ENSMUSG00000005087","-","Cd44","chr2",102845284,102845410,NA,NA,5.05990502391e-05,0.0113762887534,"1.0,1.0,1.0","0.448,0.419,1.0","SE","2","Cd44",20.8877378291027,21.7861474206021,23.383762908353,21.603468992621,19.8163245194805,22.3622432414404,21.3626084189787,21.9172865515545,NA,"mus","lung","GSE125483"
"22","ENSMUSG00000005360","-","Slc1a3","chr15",8687710,8687812,NA,NA,8.59736917027e-05,0.0163366654304,"1.0,1.0,0.0","0.291,0.0,0.291","SE","15","Slc1a3",4.98711223895982,4.56197033313811,5.12670263078365,4.56968001124517,4.11824554667916,4.37960787466323,4.74402013880754,4.50375273968217,NA,"mus","lung","GSE125483"
"23","ENSMUSG00000005373","+","Mlxipl","chr5",135133408,135133543,NA,NA,2.89975036034e-05,0.00421254643257,"0.707,1.0,1.0","0.791,0.446,0.437","RI","5","Mlxipl",0.849576989346334,0.841409439147707,0.73090958974359,0.586505393463344,0.844387247381726,0.644406237992055,0.80829127549055,0.690773690201035,NA,"mus","lung","GSE125483"
"24","ENSMUSG00000005501","-","Usp40","chr1",87968395,87968449,NA,NA,0.00015804020675,0.0230433574723,"1.0,0.969,1.0","0.841,0.869,0.949","SE","1","Usp40",3.31414434883329,3.14867769151714,3.4283510610732,3.08403284735911,3.12007535136046,2.85178151587903,3.28752358708898,3.02816401825176,NA,"mus","lung","GSE125483"
"25","ENSMUSG00000005687","+","Bcas2","chr3",103174501,103175618,NA,NA,0.00077901171434,0.0315154612536,"0.094,0.11,0.109","0.085,0.105,0.045","RI","3","Bcas2",5.26743703211845,4.9358746667426,5.34134247175399,5.98269763849658,5.38757807995444,5.79641228451025,5.33211919460896,5.57166152991648,NA,"mus","lung","GSE125483"
"26","ENSMUSG00000006418","+","Rnf114","chr2",167507046,167507197,NA,NA,8.12486276469e-06,0.00348027526778,"0.955,0.968,0.976","0.927,0.895,0.865","SE","2","Rnf114",27.519322567938,28.1935922854589,29.3612124707986,28.0753333721693,26.5368174982122,25.9388591188915,27.8057841789829,27.4025949255066,NA,"mus","lung","GSE125483"
"27","ENSMUSG00000006575","+","Rundc3a","chr11",102399284,102399382,NA,NA,1.08744771299e-06,0.000347548289072,"1.0,0.457,0.457","0.144,0.0,0.0","RI","11","Rundc3a",0.615463426385583,0.548237755865352,0.392454750425026,0.448776785107106,0.690973244814689,0.565505673580415,0.566297140541766,0.520840071517624,NA,"mus","lung","GSE125483"
"28","ENSMUSG00000006673","+","Qrich1","chr9",108518702,108518826,NA,NA,2.99645645812e-05,0.00852238844115,"0.74,0.744,0.925","1.0,1.0,1.0","SE","9","Qrich1",5.01176075877747,5.10968172480424,4.77819414448093,5.01413550985097,6.43777498585501,5.10661214069209,5.40924329637114,5.07680979178243,NA,"mus","lung","GSE125483"
"29","ENSMUSG00000006673","+","Qrich1","chr9",108518766,108518826,NA,NA,3.5561442427e-05,0.00943595643065,"0.759,0.73,0.919","1.0,1.0,1.0","SE","9","Qrich1",5.01176075877747,5.10968172480424,4.77819414448093,5.01413550985097,6.43777498585501,5.10661214069209,5.40924329637114,5.07680979178243,NA,"mus","lung","GSE125483"
"30","ENSMUSG00000006932","+","Ctnnb1","chr9",120957106,120957109,NA,NA,3.32288693472e-06,0.000892907189173,"0.965,0.997,1.0","0.982,0.971,0.954","A3SS","9","Ctnnb1",127.627345672766,124.60472326926,169.818406946071,170.331789129237,165.801535132512,153.485874873844,154.415762583783,149.47412909078,NA,"mus","lung","GSE125483"
"31","ENSMUSG00000007591","+","Tssk4","chr14",55651488,55651852,NA,NA,3.77761415159e-05,0.00975983066726,"1.0,1.0,1.0","0.62,0.495,0.809","SE","14","Tssk4",0.49631146301689,0.735548676761794,0.41917342341293,0.707957988351776,0.569902368083867,0.684976532323821,0.495129084837896,0.709494399145797,NA,"mus","lung","GSE125483"
"32","ENSMUSG00000007591","+","Tssk4","chr14",55651458,55652265,NA,NA,8.79266066428e-05,0.0103368716934,"1.0,1.0,1.0","0.69,0.554,0.829","A3SS","14","Tssk4",0.49631146301689,0.735548676761794,0.41917342341293,0.707957988351776,0.569902368083867,0.684976532323821,0.495129084837896,0.709494399145797,NA,"mus","lung","GSE125483"
