"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474303","FPKM.SRR8474304","FPKM.SRR8474305","FPKM.SRR8474306","FPKM.SRR8474307","FPKM.SRR8474308","..files.spleen_mean_female","..files.spleen_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMUSG00000000085","+","Scmh1","chr4",120462012,120462155,NA,NA,0.000230344666489,0.0320047118121,"1.0,1.0,0.874","0.639,1.0,0.823","SE","4","Scmh1",3.05611488216272,2.38603865528392,2.84344197529427,2.70742740331134,2.73169317216401,3.24708429207088,2.7882720398396,2.86899475358944,NA,"mus","spleen","GSE125483"
"2","ENSMUSG00000000134","+","Tfe3","chrX",7772596,7773493,NA,NA,0.000797610659817,0.039272829631,"0.132,0.116,0.156","0.111,0.054,0.089","RI","X","Tfe3",4.98990282194148,5.59151999265738,4.80128519565922,5.05795566925818,5.52809721671526,5.62753272594752,5.58238331177339,4.94971456228629,NA,"mus","spleen","GSE125483"
"3","ENSMUSG00000000204","+","Slfn4","chr11",83176070,83176076,NA,NA,4.7218810811e-05,0.00417022716943,"1.0,0.648,1.0","0.525,0.535,0.822","A3SS","11","Slfn4",4.16660407568113,1.9024199641776,11.9491587916246,2.2005386160444,1.67734335368315,2.44335443995964,2.00770591927346,6.10543382778338,NA,"mus","spleen","GSE125483"
"4","ENSMUSG00000000204","+","Slfn4","chr11",83175827,83175913,NA,NA,0.000140653128667,0.023899385436,"1.0,0.693,1.0","0.475,0.794,0.576","SE","11","Slfn4",4.16660407568113,1.9024199641776,11.9491587916246,2.2005386160444,1.67734335368315,2.44335443995964,2.00770591927346,6.10543382778338,NA,"mus","spleen","GSE125483"
"5","ENSMUSG00000000386","-","Mx1","chr16",97460755,97460946,97462698,97462770,4.15664660374e-05,0.0242612244444,"0.105,0.192,0.082","0.024,0.032,0.024","MXE","16","Mx1",5.64764554161163,5.59672221902246,6.21396120581242,7.78187839365918,7.43727668797886,7.09850804280053,6.71083564993395,6.54782838036108,NA,"mus","spleen","GSE125483"
"6","ENSMUSG00000000561","+","Wdr77","chr3",105965856,105966356,NA,NA,1.83415904009e-06,0.000632173482484,"0.918,0.741,1.0","0.979,1.0,1.0","RI","3","Wdr77",5.51945452427184,5.75756968291675,6.52330912538732,7.50880651249742,5.676653628176,6.09402265647593,5.84274865585623,6.51719005405219,NA,"mus","spleen","GSE125483"
"7","ENSMUSG00000000561","+","Wdr77","chr3",105965856,105965873,NA,NA,0.000100051652551,0.0120473960454,"0.982,0.911,1.0","0.994,1.0,1.0","A5SS","3","Wdr77",5.51945452427184,5.75756968291675,6.52330912538732,7.50880651249742,5.676653628176,6.09402265647593,5.84274865585623,6.51719005405219,NA,"mus","spleen","GSE125483"
"8","ENSMUSG00000001166","-","Oas1c","chr5",120806295,120806405,NA,NA,1.21377688408e-05,0.00436667208618,"1.0,1.0,1.0","0.702,1.0,0.557","SE","5","Oas1c",7.23057795717256,6.18694880582121,6.17762341164241,6.92313590561331,8.25737594386694,7.35489073097713,7.26640516022176,6.77711242480943,NA,"mus","spleen","GSE125483"
"9","ENSMUSG00000001240","+","Ramp2","chr11",101256008,101256097,NA,NA,0.000233507371692,0.0320394283587,"0.97,0.973,0.969","1.0,0.993,0.992","SE","11","Ramp2",8.24568760254468,7.86874342047864,6.58079682550742,6.10186679794002,9.8383417600727,5.56468632565889,7.75725716873674,6.97611707533071,NA,"mus","spleen","GSE125483"
"10","ENSMUSG00000001348","-","Acp5","chr9",22130522,22130608,NA,NA,7.38298148872e-06,0.00322878356024,"0.812,0.94,0.949","0.727,0.566,0.831","SE","9","Acp5",98.3287807034483,98.5922789034483,92.7903014758621,105.382158104434,97.5903422128079,100.531381868473,98.9046676615764,98.8337467612481,NA,"mus","spleen","GSE125483"
"11","ENSMUSG00000001482","+","Def8","chr8",123447316,123447363,NA,NA,0.000152277416147,0.0252317057798,"0.0,0.0,0.231","0.231,0.445,0.0","SE","8","Def8",7.45436957917423,6.1028914435118,10.6606134573503,6.06907102903811,5.85383390902904,5.30198129423775,5.75290221559286,8.06135135518755,NA,"mus","spleen","GSE125483"
"12","ENSMUSG00000001552","-","Jup","chr11",100386388,100386385,NA,NA,0.000117387207324,0.00867467505551,"0.824,0.906,1.0","1.0,1.0,0.964","A3SS","11","Jup",8.03906280111871,9.80344669188937,7.17881871519577,8.61691351476072,12.8131976034804,10.007533099596,10.8747257983219,7.94493167702507,NA,"mus","spleen","GSE125483"
"13","ENSMUSG00000001833","+","Sept7","chr9",25303852,25306125,NA,NA,0.00130085010782,0.0475356579867,"0.014,0.025,0.027","0.031,0.022,0.032","RI","9","Sept7",9.73813551242369,12.4301922684206,9.45603536858396,10.498225394721,9.56134936935775,10.1674091861405,10.7196502746396,9.89746542524288,NA,"mus","spleen","GSE125483"
"14","ENSMUSG00000002010","-","Idh3g","chrX",73782297,73782309,NA,NA,2.34137909061e-08,3.4700538889e-05,"0.588,0.257,0.0","0.0,0.0,0.0","SE","X","Idh3g",26.6977837056646,25.0133959266938,25.4486502847094,24.978537109589,26.5752375923732,24.8394240066642,25.4760191752437,25.7083236999877,NA,"mus","spleen","GSE125483"
"15","ENSMUSG00000002043","+","Trappc6a","chr7",19515006,19515024,NA,NA,7.96443626486e-05,0.00640871638112,"1.0,0.987,0.969","0.972,0.898,0.942","A3SS","7","Trappc6a",12.3280147482694,8.34523182819383,11.0021859106356,9.60887746192574,12.3513508124607,10.6814814090623,10.4593546832389,10.9796927069436,NA,"mus","spleen","GSE125483"
"16","ENSMUSG00000002043","+","Trappc6a","chr7",19514539,19515024,NA,NA,2.07976907891e-05,0.00423032513829,"1.0,0.943,0.878","0.867,0.624,0.791","RI","7","Trappc6a",12.3280147482694,8.34523182819383,11.0021859106356,9.60887746192574,12.3513508124607,10.6814814090623,10.4593546832389,10.9796927069436,NA,"mus","spleen","GSE125483"
"17","ENSMUSG00000002068","-","Ccne1","chr7",38099246,38099358,NA,NA,4.22349327511e-07,0.000417296778149,"0.882,0.858,1.0","1.0,0.989,1.0","SE","7","Ccne1",17.3072987941397,14.5776997415477,29.0790152892562,11.3877742885049,8.40078730277987,9.77619533433509,10.9182274595542,19.2580294573003,NA,"mus","spleen","GSE125483"
