"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474312","FPKM.SRR8474322","FPKM.SRR8474329","FPKM.SRR8474339","FPKM.SRR8474348","FPKM.SRR8474358","..files.heart_mean_female","..files.heart_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMUSG00000000134","+","Tfe3","chrX",7766554,7766573,NA,NA,6.8724193631e-05,0.00745921824718,"0.684,0.549,1.0","0.877,1.0,1.0","A3SS","X","Tfe3",1.38302653331174,1.39110083749055,1.40744129132923,1.45692701284958,1.17175511802181,0.999262178274484,1.32074098088759,1.2824300095382,NA,"mus","heart","GSE125483"
"2","ENSMUSG00000000486","-","Sept1","chr7",127217742,127217970,NA,NA,1.39192924375e-05,0.00219151526488,"0.284,0.263,0.0","1.0,0.543,1.0","RI","7","Sept1",0.68911772276511,0.507135394136808,0.898562092290988,0.786278866811437,0.865338406804198,0.740937377126312,0.817672740620099,0.678117212691519,NA,"mus","heart","GSE125483"
"3","ENSMUSG00000000826","+","Dnajc5","chr2",181548925,181549000,NA,NA,2.84384026572e-05,0.00624716040267,"0.153,0.268,0.256","0.1,0.042,0.091","SE","2","Dnajc5",8.65343496073637,9.46822352279592,3.06423920624191,2.56005871451172,2.77632045706889,0.894727301740256,4.83133154134906,4.3076698463493,NA,"mus","heart","GSE125483"
"4","ENSMUSG00000000915","+","Hip1r","chr5",124000774,124001205,NA,NA,3.33950784309e-05,0.00394340217805,"1.0,1.0,1.0","0.445,0.473,1.0","RI","5","Hip1r",2.73451120572669,2.06625612023341,2.36619751567377,1.91417781747863,2.81398839829013,2.05191726448636,2.6382323732302,2.01078373406613,NA,"mus","heart","GSE125483"
"5","ENSMUSG00000001844","-","Zdhhc4","chr5",143328677,143328897,NA,NA,0.000167444363633,0.0216354510968,"0.791,0.58,1.0","0.785,1.0,1.0","SE","5","Zdhhc4",3.70871317039106,3.07597084916201,3.59172084671788,3.0109449200419,3.40354542178771,3.83846098708101,3.56799314629888,3.30845891876164,NA,"mus","heart","GSE125483"
"6","ENSMUSG00000001855","+","Nup214","chr2",32039319,32039322,NA,NA,0.000969864767783,0.0497628795397,"0.729,0.834,0.742","1.0,1.0,0.706","A3SS","2","Nup214",1.19423921865618,1.6569578664458,1.19361540687442,0.82860359529972,1.31441134454913,0.769495138006005,1.23408865669324,1.08501886658384,NA,"mus","heart","GSE125483"
"7","ENSMUSG00000001870","+","Ltbp1","chr17",75179036,75179204,NA,NA,8.53375164844e-06,0.00317336668431,"0.683,0.835,0.738","1.0,1.0,1.0","SE","17","Ltbp1",2.90273925011692,3.32367781704237,2.58340747572725,2.74306056290338,2.95673913020297,2.55326164671219,2.81429528534905,2.87333334221931,NA,"mus","heart","GSE125483"
"8","ENSMUSG00000002326","+","Gmpr2","chr14",55676754,55676836,NA,NA,0.000177748690125,0.0218950836496,"0.858,0.902,1.0","1.0,1.0,0.967","SE","14","Gmpr2",1.62450769197452,1.63221810675159,1.97336455159236,1.14764177197452,1.53142341681529,1.9581443510828,1.70976522012739,1.57933474326964,NA,"mus","heart","GSE125483"
"9","ENSMUSG00000002602","-","Axl","chr7",25773098,25773125,NA,NA,0.00024548778129,0.0269992722315,"0.825,0.856,0.839","1.0,0.943,0.799","SE","7","Axl",21.1355149697993,18.5563280490761,26.4355206302404,12.3664439467514,18.8718433864494,17.2284560677528,22.1476263288297,16.0504093545268,NA,"mus","heart","GSE125483"
"10","ENSMUSG00000002625","-","Akap8l","chr17",32334696,32335562,NA,NA,0.000698617809637,0.0366644976391,"0.198,0.154,0.126","0.146,0.067,0.101","RI","17","Akap8l",5.24819453873448,5.19249960477035,4.65633936782969,4.81111518214075,5.02466609639267,4.35471498265326,4.97640000098561,4.78610992318812,NA,"mus","heart","GSE125483"
