"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474316","FPKM.SRR8474333","FPKM.SRR8474352","FPKM.SRR8474362","FPKM.SRR8474365","FPKM.SRR8474366","..files.pituitary_mean_female","..files.pituitary_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMUSG00000000131","-","Xpo6","chr7",126152825,126151223,NA,NA,0.000911030192283,0.0401009600754,"0.191,0.19,0.083","0.212,0.231,0.295","A5SS","7","Xpo6",3.31559412937352,4.37241830780142,4.00275744343972,4.01053058959811,5.20909386897163,5.05212061979906,3.89692329353822,4.75724835945627,NA,"mus","pituitary","GSE125483"
"2","ENSMUSG00000000134","+","Tfe3","chrX",7769547,7770773,NA,NA,0.000527507457941,0.0216483580142,"0.096,0.111,0.089","0.13,0.18,0.146","RI","X","Tfe3",5.29248563967174,5.31324586545729,7.56245522762121,5.96405802580715,7.06620030763416,6.00118961656409,6.05606224425008,6.34381598333513,NA,"mus","pituitary","GSE125483"
"3","ENSMUSG00000000339","-","Rtca","chr3",116504468,116504446,NA,NA,0.000576606683264,0.0252902373171,"0.888,0.873,0.871","0.735,0.604,0.81","A3SS","3","Rtca",8.02605451755319,9.73713238670213,8.53213148723404,10.4105631606383,9.25308365159574,11.3350169239362,8.76510613049645,10.3328879120567,NA,"mus","pituitary","GSE125483"
"4","ENSMUSG00000000530","+","Acvrl1","chr15",101134606,101134644,NA,NA,0.000108569225483,0.009523793454,"0.246,0.394,1.0","1.0,1.0,1.0","A3SS","15","Acvrl1",1.26802450504103,0.72554861031653,0.812583216178195,1.2010298862837,1.80341516365768,1.43214478311841,0.935385443845252,1.4788632776866,NA,"mus","pituitary","GSE125483"
"5","ENSMUSG00000000560","-","Gabra2","chr5",71034729,71034797,NA,NA,6.13264978783e-05,0.00801624936552,"1.0,1.0,0.915","0.733,1.0,0.821","SE","5","Gabra2",3.41585005968586,2.82737867958115,3.73333867015707,2.6200772802356,2.06277019319372,2.03219522984293,3.32552246980803,2.23834756775742,NA,"mus","pituitary","GSE125483"
"6","ENSMUSG00000000568","-","Hnrnpd","chr5",99962097,99962204,NA,NA,8.25911201985e-06,0.00184567786981,"0.161,0.124,0.073","0.099,0.046,0.051","SE","5","Hnrnpd",9.5287813589883,11.4215926619527,11.5418728060919,11.2784335866195,12.1959830221648,13.3076500798205,10.8307489423443,12.2606888962016,NA,"mus","pituitary","GSE125483"
"7","ENSMUSG00000000568","-","Hnrnpd","chr5",99962133,99962204,NA,NA,2.34560648071e-06,0.000760689089061,"0.086,0.062,0.028","0.047,0.011,0.008","SE","5","Hnrnpd",9.5287813589883,11.4215926619527,11.5418728060919,11.2784335866195,12.1959830221648,13.3076500798205,10.8307489423443,12.2606888962016,NA,"mus","pituitary","GSE125483"
"8","ENSMUSG00000000823","-","Zfp512b","chr2",181588103,181588079,NA,NA,0.0011350450815,0.0407751433087,"0.028,0.009,0.006","0.049,0.016,0.058","A3SS","2","Zfp512b",13.4585474975037,17.6383232568282,18.457032112188,18.8829094603524,20.9963827524229,18.4699469217327,16.5179676221733,19.4497463781693,NA,"mus","pituitary","GSE125483"
"9","ENSMUSG00000001034","-","Mapk7","chr11",61493523,61493505,NA,NA,0.00023829766921,0.0159813178802,"0.528,0.499,0.313","0.0,0.615,0.0","A5SS","11","Mapk7",2.36387861401912,2.56881127696859,2.71531024442421,3.16736320596268,2.50102401228949,2.73592098111061,2.54933337847064,2.80143606645426,NA,"mus","pituitary","GSE125483"
"10","ENSMUSG00000001098","-","Kctd10","chr5",114369030,114369027,NA,NA,0.000854904330185,0.0323098853239,"0.09,0.088,0.116","0.193,0.193,0.242","A3SS","5","Kctd10",10.5656554137163,10.6528372795246,11.0331442993315,11.6746969009656,12.0735974553107,12.2110690980441,10.7505456641908,11.9864544847735,NA,"mus","pituitary","GSE125483"
